* Two people landed in the pool of a #LongIsland home, following a car accident, police say * #DailyVoice https://t.co/5vQONqlZO4	1
Central New York guitarist suffers serious hand injury in chainsaw accident https://t.co/shppBjpJN4	0
The fourth annual event will raise money for a special piece of equipment marking Tom McGuire's progress since his… https://t.co/mFa8ytu8ig	0
Really don’t know if I’m prepared to listen to ‘did you know Kirsty macoll died in a boat accident’ every time Fair… https://t.co/q5YDxahlBF	0
@LibertyMutual real life insurance policy reason and if you look at the Statue of Liberty CORPORATION what does tha… https://t.co/w8ycks0xeR	0
@KTHopkins Got off there by accident in 1996, wanted new York penn station, miss heard and jumped the gun, was a dump then too.	0
My favourite Christmas tradition is hearing The Pogues - ""Fairytale of New York"" then having my dad tell me for the… https://t.co/2wEhhcEZpL	0
Angie Martinez, Veteran New York Hip Hop Radio Host, Injured In ‘Severe’ Car Accident |\xa0Celebrities… https://t.co/72DijYNchc	0
Plays:\nWe zijn hier voor Robbie\nHet Duel\nArt\nDe wereld volgens John\nHeidi Pippi Sissi Ronnie Barbie\nBetrayal\nAmadeu… https://t.co/bSjgBAK3Sg	0
@gabyzajacz @kaylaparnall Maybe this is why I never received a ticket from visiting new York, I was running red lig… https://t.co/69AuJaghhJ	0
NORTHBOUND NEW YORK STATE THRUWAY ACCIDENT INTO EXIT 14A #i87 #rockland #chestnutridge #ramapo	1
The National Transportation Safety Board (NTSB) has released a Marine Accident Brief about the Carnival Horizon's A… https://t.co/8Pdx3o9VdR	0
SOUTHBOUND NEW YORK STATE THRUWAY ACCIDENT INTO EXIT 15A #rockland #orange #i87 #rt59 #thruway	1
After a serious accident, Hannah Gavios was told she may never walk again.\nEarlier this week she finished her secon… https://t.co/Z07YWvzEc6	0
Per New York Times v Sullivan (1964), however, if by accident or misunderstanding a false statement (there's no suc… https://t.co/b8OVlOhzrm	0
New York has a 3 yr statute of limitations on filing a lawsuit for a slip  &amp; fall accident. The sooner you start yo… https://t.co/gnDq1W7siy	0
After an accident, Hannah Gavios was told she may never walk again.\n\nShe finished her second New York City Marathon… https://t.co/w9WJkkkIwl	0
NTSB issues Marine Accident Brief 19/29, Tuesday, Nov. 5, 2019, on investigation of Aug 28, 2018, contact of the cr… https://t.co/OJukyoYmZL	0
In New York, a police officer is driving his SUV when his gun ""somehow discharges,"" hitting him in the leg and stri… https://t.co/ssTZAHxxg2	0
In Upstate New York, construction employee dies when he falls 4 stories from roof: https://t.co/bvAHFX5Umr	0
Video released of 10-year-old falling from zip line at Florida adventure park as family sues company - New York Dai… https://t.co/XNWCOP8JzV	0
New York officer who died in ‘tragic’ car accident had inadvertently shot himself in the leg, police say https://t.co/20nqBadWvI	0
WWPR (Power 105.1)/New York's Angie Martinez Hurt In Auto Accident https://t.co/HvEUdtF2Mc	0
Angie Martinez, Veteran New York Hip Hop Radio Host, Injured In ‘Severe’ Car Accident |\xa0Celebrities… https://t.co/AjJnv63ro9	0
@ayy_its_Laura @So_New_York @LMSpearmon @Spankss @IamPoetJustGreg @drocktrot @oldmanebro @Rosenbergradio… https://t.co/vHjr5tpGO5	0
Sooo @angiemartinez was involved in an accident yesterday,  the discjockey of #power1051 #theangiemartinezshow… https://t.co/gCSmk7cnGT	0
Angie Martinez Injured In ‘Severe’ Car Accident: Prayers up. https://t.co/d7aRnEcVWr	0
Post: Angie Martinez, Veteran New York Hip Hop Radio Host, Injured In ‘Severe’ Car Accident: Prayers up.… https://t.co/Ebk2X1ApG1	0
Angie Martinez, Veteran New York Hip Hop Radio Host, Injured In ‘Severe’ Car\xa0Accident https://t.co/xODyw1qQhS https://t.co/jdbaxEEwqS	0
Angie Martinez Injured In ‘Severe’ Car Accident https://t.co/v2IUerNOiv https://t.co/Ua0tajBGWY	0
New York officer who died in ‘tragic’ car accident had inadvertently shot himself in the leg, police say\nThe New Yo… https://t.co/2KQ6jJHtOl	0
Because good things happen and we need to be more thankful for things we normally take for granted. https://t.co/f1oBCnlJmx	0
@Electra661 If it’s like a New York City bus, when it hits Earth 20 people, who weren’t on it in space, will claim… https://t.co/LGmP9UfNLZ	0
Angie Martinez, Veteran New York Hip Hop Radio Host, Injured In ‘Severe’ Car Accident https://t.co/pSzcSvkQk9	0
#1 Daniel Johnston\xa0•\xa0Hi, How Are You\xa0•\xa0Austin\xa0•\xa0Kurt Cobain\n\nDaniel Johnston, Enigmatic Singer-Songwriter, Is Dead… https://t.co/4gKuytNwPC	0
The knife went through his eye, and everything went black.\n\nJoseph Goldstein\'s doctor didn\'t think his eye would ""s… https://t.co/QtVo3eI83O	0
Angie Martinez, Veteran New York Hip Hop Radio Host, Injured In ‘Severe’ Car Accident https://t.co/3WGgXWeE1k	0
LEGEND, GOD-DESS! and one of the good ones in the business.ABSOLUTELY gracious to me in a situation where not every… https://t.co/wEMEy1uXA4	0
@kate_lambe She needn’t have or I’m going to New York myself and she’s having herself an accident 😂	0
@WTOPtraffic accident on ramp to 395 from New York ave	1
BREAKING NEWS: New York radio legend Angie Martinez involved in severe car accident. Currently recovering from frac… https://t.co/856TVRxmrR	0
Accident, two lanes blocked in New York on The FDR Drive SB at The Manhattan Br/South St/x3, stop and go traffic ba… https://t.co/cVdhjPqSNJ	1
Godspeed to the voice of New York @angiemartinez! I wish you a speedy recovery from your car accident.	0
Kosher Meat Mahgiach From Brooklyn (R'Joseph Goldstein, 29) Gets Eyesight Back After Knife Accident @NYDailyNews… https://t.co/RwR98yotf6	0
🤔👀New York officer who died in ‘tragic’ car accident had inadvertently shot himself in the leg, police say | Fox Ne… https://t.co/xYnqg8ndh2	0
New York officer who died in ‘tragic’ car accident had inadvertently shot himself in the leg, police say https://t.co/e5gXty4Qem #FoxNews	0
New York officer who died in ‘tragic’ car accident had inadvertently shot himself in the leg, police say https://t.co/gh4DRuhjva #FoxNews	0
New York officer who died in ‘tragic’ car accident had inadvertently shot himself in the leg, police\xa0say https://t.co/Q3qmu4IRA6	0
New York officer who died in ‘tragic’ car accident had inadvertently shot himself in the leg, police\xa0say… https://t.co/RFxeewWx59	0
New York officer who died in ‘tragic’ car accident had inadvertently shot himself in the leg, police say | Fox\xa0News https://t.co/yhm8pQrjrT	0
New York officer who died in ‘tragic’ car accident had inadvertently shot himself in the leg, police say https://t.co/ZeIAjKmQVX	0
New York officer who died in ‘tragic’ car accident had inadvertently shot himself in the leg, police say\n\nhttps://t.co/OWlntSE9jQ	0
New York radio personality Angie Martinez recovering after suffering multiple injuries in ""severe car accident"" https://t.co/YyhMJsQBoY	0
Radio Host Angie Martinez Suffers Shattered Vertebrae in Severe Car Accident\n\nAngie Martinez is in recovery after s… https://t.co/DzHfNQvc8s	0
Brooklyn, New York, Who Gets Compensated After a Car Accident? Accident Lawyers - https://t.co/rPKwm7KRrm… https://t.co/rdDNW1tN0g	0
...to as many as 150 offices in Arizona, California, Connecticut, New Jersey, New York, and Pennsylvania. It now h… https://t.co/LNpWQvVRme	0
Medical miracle of biblical proportion: Kosher meat-packer gets his vision back after knife accident https://t.co/FmqhAlGe1s	0
Brooklyn, New York, Who Gets Compensated After a Car Accident? Accident Lawyers - https://t.co/mD2fDuvwOB… https://t.co/cFJSM9gu7K	0
