0;@TuneChiBabii Lol should have let it burn and collect insurance money to buy a new car. How about those hawks, damn!;NO
1;DRIVING WHILE DISTRACTED-THE LEADING CAUSE OF CAR ACCIDENTS IN THE U.S http://t.co/IdY4o6m5B0 #newblog #blog #accidents #injury #chicago;NO
2;Dear neighbor, plz turn off your damn car alarm before I walk over and set your fucking car on fire. I am trying to study ðŸ˜¡;NO
3;RT @Felonious_munk: if i''m 10 minutes late for a date because i got into a car accident, that''s an excuse. if i''m late because i overslept,â€¦;YES
4;RT @TheWolfman: He died as he lived: headbanging to Neurosis in an upside down car while on fire.;NO
5;Elderly Man Critically Hurt In Chatham Fire: (STMW) â€“ An elderly man is in critical condition after a fire that... http://t.co/OFvsCD66RB;YES
6;He died as he lived: headbanging to Neurosis in an upside down car while on fire.;NO
7;@Deadspin go die in a fire deadspin;NO
8;RT @IamEnidColeslaw: just RSVPed to a bridal shower so I have until 2:00 pm on April 3rd to get into a serious car accident;NO
9;Today I gave myself a paper cut, stabbed myself, fell down, sent out embarrassing snapchats and almost got in a car accident. Not my best.;NO
10;RT @ABC7Chicago: Indiana State Police trooper, 2 others injured in I-65 crash http://t.co/n2CJWRR42c http://t.co/7iR5IIZY7E;YES
11;There it is. The gasoline to inflame the fire. #Bulls RT @ESPNChiBulls: Funk has hunch #Rose back this season http://t.co/zWWLojKYfI;NO
12;Just almost started a fire in my apartment via cigarette but I almost set my highschool on fire that way so I guess I''m not that surprised;YES
13;â€œ@MixedMamba12: â€œ@MeAndMyBugatti: My car out here lookin bout ashy as hellâ€? Is car slang for ankles or what?â€? Naw nigga! My vehicle;NO
14;RT @iPhoneTeam: The block feature was the best thing to ever happen to the iPhone;NO
15;almost hit a car... but I''m the best at turning, didn''t even touch the car.. #success;NO
16;I jus wanna smoke dope get ðŸ’° I jus wanna get ðŸ’° smoke dopeðŸ’¨ðŸ’¨;NO
17;I have the Worst headache and my eyes burn from shit falling from underneath the car;NO
18;Buy it at the @metrochicago show on 3/29 --&gt;NO
19;RT @BryanD0minguez: Spring break is going to be winter break part 2 cx;NO
20;MT @WorldEquestWED: Silva Martin Sustains Head Injury in Riding Accident  http://t.co/xOCP7sHVlz - And March is Brain Injury Awareness Month;YES
21;RT @ChicagoDrives: Foundry fire struck @ 106 S. Mallory in Batavia. Investigators on scene to determine cause of blaze. http://t.co/k1ts8fDâ€¦;YES
22;Two men are facing charges after fleeing from a traffic stop, ditching their car in a Kendall County field, and... http://t.co/dumBDCfJWF;YES
23;Bitch all you do is smoke. That shit ain''t attractive.;NO
24;Just witnessed a runner run right into a moving car, then 3 seconds later almost get hit by a cambus #NotHisDay;NO
25;RT @jamescardis: Massive fire in #Batavia at an old foundry, fire engines dispatched from as far as Naperville. Shot with #Pentax. http://tâ€¦;YES
26;Jessie J, Rita Ora, Chels Fergo.. Yev got to set one on fire, brutally stab one or gas one.. Either way they all die #HAPPYTHOUGHTS ðŸ’?ðŸŒˆðŸ˜‡;NO
27;The very first iron movie is the best lol that plane scene.;NO
28;Woman hit by car in Aurora critical Randall Road closed: A woman was critically injured after she... http://t.co/XKwGIooyWF #Chicago #News;YES
29;Today felt like I was directing traffic in the middle of a car accident. Glad today is over lol;YES
30;A must read police thriller!! DEAD BURN  #action #policeprocedural http://t.co/QbyyA7HeMx;NO
31;RT @MobileCuisine: Food Truck Fire Safety Basics - http://t.co/8M81qSRtvs;NO
32;I play with fire to break the ice;NO
33;RT @trutitty: I play with fire to break the ice;NO
34;RT @Do312: . @PegboardNerds have crash landed on the global music scene & are heading straight to @subtchicago 3/14! WIN TICKETS http://t.câ€¦;NO
35;RT @ChicagoBreaking: Orange Line service suspended near Midway after smoke reported under train http://t.co/3nuNqpOswB;NO
36;I love being slept on its like fuel to a fire;NO
37;2 more inches Ida been in nat casket according to the doctor I should have died in traffic;NO
38;RT @ABC7Chicago: 56-year-old woman struck by car in Aurora dies Randall Road reopens http://t.co/BUSDPb5L3K;YES
39;On the breaking news shift tonight... It''s been a busy week, please don''t crash your cars or set anything on fire if you can help it;NO
40;If Carlos Boozer''s help defense was a fireman everybody in need of assistance would burn alive in an inferno;NO
41;Check this one out Russian Road Rage and Car Crashes 2013 (Winter) http://t.co/Z4FbPEjHN5;YES
42;Utah Mormon missionary killed by speeding car in Sweden http://t.co/ktz0UnnQZADid the car have a dog strapped to the roof?;YES
43;Ladder truck. mastercast #Batavia fire @WGN https://t.co/3TtEMXgR1W;NO
44;AURORA: Randall Rd blocked for next few hours btw Sullivan and Indian Trail due to crash inv. pedestrian. ALT: Orchard Rd;YES
45;RT @BartShore: Lake Co Sheriff and a Garbage Truck Crash in Beach Park @WBBMNewsradio http://t.co/ClLkUpUJxP @Derrickcyoung http://t.co/Gcaâ€¦;YES
46;FIRE FIRE FIRE @RoParrish https://t.co/qglbGGcXvX;YES
47;Helped nearby drivers by reporting a stand still traffic jam on W Grand Ave, Chicago on @waze - Drive Social. http://t.co/eanJhfqs5c;YES
48;Alicia Keys is so rude for making a song about a girl on fire bitch call the muthafuckin cops that girl is gonna die;NO
49;Oh no! Someone stole her clueless ex-husband''s car and killed her with it while he was obliviously fishing. Or a similar car maybe.;NO
50;TRAFFIC - Aurora - Randall Road is closed between Indian Trail and Sullivan due to a fatal car vs pedestrian... http://t.co/D7f8rVMr08;YES
51;RT @Tavioo_96: @_Justiiice got some fire coming!! Get it trending I swear this jam is a banger!!! #Rhombus #Rhombus #Rhombus #Rhombus #Rhomâ€¦;NO
52;I''m at a stoner metal show by my lonesome and the rest of the universe can die in a goddam fire.;NO
53;RT @madcaplaughs30: This lady didn''t know how to use the gas pump, so I winked at her and whispered nobody does while pouring gas into myâ€¦;NO
54;I''m so tired that I just tried opening someone else''s car door.....while they were in the car.  help;NO
55;just pulled out like 5 eyelashes on accident. uhhhh thats not good :O;YES
56;Bitch quick to think Im playing. Til I catch they ass in traffic;NO
57;RT @RegularRuben: #TeamHennessy #Chi will help @calebjamesFBSM celebrate his @chicagoreader COVER 2nite @Spybar http://t.co/ojPlJ6By2J Hit â€¦;NO
58;A drawing of smoke for The Waste Land. http://t.co/iidA9tWw3v and http://t.co/fPdz05zJsM #art #chicagoartist #TheWasteLand #TSEliot #smoke;NO
59;Fucking driving down the road and a rock must''ve kicked up from the car in front of me and it cracked my damn windshield, I''m so pissed;YES
60;10 people died in an accident;YES
61;I like fire. I add gas to a flame because I know that I can extinguish it.;NO
62;RT @ChicagoDrives: Aurora: Randall CLOSED next few hours: Indian Trail to Sullivan after this car struck a woman. investigators on scene htâ€¦;YES
63;AURORA UPDATE:56 y/o woman dead after being hit by car.Randall Rd now open Sullivan-Indian Trail after being blocked for 4 hrs for investig.;YES
64;#Sad RT @CFDMedia: 6423-25  a washtinaw still and box. Now struck.  No injury but two dogs and two cats died as a result of heavy smoke.;NO
65;Woman fatally struck by car in Aurora: Police http://t.co/GR7ErGB2eS http://t.co/vgl7LyvFrK;YES
66;Set my hands on fire, head on fire, dress on fire, burning angel - an angel on fire â?°and Iâ€™m burning to escape the cold;NO
67;ðŸ˜©ðŸ˜• lol RT @Rukhary: Mog said he hope Ego die in a fiery car crash for saying Big Sean better than Kendrick.;NO
68;I always thought that if you put gas in your car while it''s running that it would explode...not the case..some1 just did that now;NO
69;@WhatJohnThinks @CounterVulture KILL IT KILL IT WITH FIRE;NO
70;@marilyn_medina1 hannah was telling me how the struggle bus crashed tonight and the air bags deployed. I died in the crash #notYolo;NO
71;@EightBellsRock You might just need to drop everything and hit the road. Take a break. Bring music to the masses and what not.;NO
72;@ljspoon Yo dude! Hope we bump into you and @Sevendust this summer while we''re both on the road. Y''know, because beer IS good. And stuff.;NO
73;@Vxnci follow me back I blocked you on accident;NO
74;RT @PDJFund: MT @WorldEquestWED: Silva Martin Sustains Head Injury in Riding Accident  http://t.co/xOCP7sHVlz - And March is Brain Injury Aâ€¦;NO
75;Smoke DZA - City Of Dreams (Video)  http://t.co/aDOnMUJTuo;NO
76;Smoke Adams and Sprinkles Save Lives #thatshowireadit #wickedbandname #firehouse @ Disco Inferno http://t.co/0MEspcV6JO;NO
77;WILLYLEAKS We The Terrorized Palatine Illinois Police & Fire Departments http://t.co/FsBRUiQN5Y (#IMPROVISATION 10 MONTH #ANNIVERSARY) DJW;NO
78;AND this nigga got 4 cop cars and a police artillery truck outside my house. POPCORN http://t.co/JnzdQuL0Sl;NO
79;Arlington Heights -- Criminal Damage to Vehicle on East Constitution Drive Near Hicks Rd, Palatine: Palatine p... http://t.co/T0vqj6n0dD;NO
80;#SongOfTheHumpday: Dawn Landes - Try To Make A Fire Burn Again | Sofar New York (#321) http://t.co/1QcvBAcewb;YES
81;@Fame_Dawn I blaze u, u blaze me!;NO
82;Backed into a fire hydrant on accident.At least the undercarriage of my car is clean.;YES
83;My mama broke her arm in a car accident listening to Boosie before so fuck him ðŸ’¯;YES
84;@CEDA042 you touch my car I''ll set every pair of shoes you own on fire.;YES
85;Chills.. I have fucking chills.. all that.. is just fuel for the fire.;YES
86;56-year-old woman struck by car in Aurora dies Randall Road reopens http://t.co/BUSDPb5L3K;YES
87;Woman fatally struck by car in Aurora: Police: A woman died Thursday morning after she was hit by... http://t.co/HAe1m9qmn5 #Chicago #News;NO
88;Im seriously depressed. That crash has seriously scarred me. I fucked up a classic going slow and almost died.;NO
89;I can''t wait for spring break! Oh wait, I''m an adult and I won''t have a break til I pop out a baby or die.;NO
90;300 features a sex scene so outrageous it would make history books burst into flames: http://t.co/QHaHVN3mp9;YES
91;RT @redeyechicago: 300 features a sex scene so outrageous it would make history books burst into flames: http://t.co/QHaHVN3mp9;NO
92;RT @NIFGALERTS: Union Grove WI.  Flight For Life has landed for an accident involving a school bus and another vehicle.  NBC5 News Sky5 choâ€¦;YES
93;@soulofwit123 @ScottNotInVAN @hustledouble and there''s a leak in my boat;NO
94;RT @chicagonewsnow: Police: Mom Tried To Commit Suicide By Crashing Car With Baby Inside http://t.co/lEUeSB7k2i #chicago;YES
95;When my car hit that highway an there''s no traffic, I be just fuckin flying.  I swear nobody wants to race me on the highway.;NO
96;City Work Crews Finally Free #Car Stuck In Block Of Ice http://t.co/9m8hAaYsdS #heardonwbbm780 #local #news;NO
97;@moonsovermihami only for Disclosure....WHEN A FIRE STARTS TO BURN;NO
98;RT @TotalTrafficCHI: #WestSide accident on S Independence Blvd near W Flournoy St #traffic #Chicago http://t.co/CsoUGxNhcn;NO
99;RT @ImmYungFInnese: Schoo jus needs to give me a break like fr /// I jus need a break from everything;NO
100;gotomatabei: Give a man a fire and heâ€™ll be warm for a few hours Set a man on fire and heâ€™ll be warm for... http://t.co/LcujR2Ifu0;YES
101;I don''t burn bridges that I can''t afford to burn. So if your one of them, sorry even you can''t afford my loyaltyðŸ˜‚âœŒï¸?;NO
102;RT @ABC7Chicago: Michigan doctor missing 3 months after car found in Ind. ditch, family asking for any info: http://t.co/3PkLlZ0RK8 http://â€¦;NO
103;@pbjer103 i could go for a dead heat between Coltimus Prime and Conquest Titan.  iâ€™d have no complaints with that.  :);NO
104;@jimmyfallon Girl broke up with me, walked out and then came back in because her car was stuck in the snow and needed a push #awkwardbreakup;NO
105;it''s so hot in Thompson like I think they are trying to burn us alive;NO
106;RT @BetterGov: Recent story we did shows long wait times for Chicago Fire Dept. ambulances. Not good records kept on this. -@AndyShawBGA #aâ€¦;NO
107;@_Mark_S @bifrojm I''d looooooove to have a WB fireplace. Stovetop campfire will have to do for now.;YES
108;RT @Gatorade: Theyâ€™re bringing the fire. Weâ€™re bringing the fuel. #MIAvsSA #WinFromWithin;NO
109;Woman Dead Following #Woodstock #Fire http://t.co/lfvgfbtuq7 #local #news #fatal;YES
110;There goes Urlacher, adding fuel to the Bears meatball-fan fire.;NO
111;You''ve been in a car accident: What do you do now? http://t.co/i1HoNGoUTC #infographic;NO
112;Gulfstream Park: Jamaican Smoke faces softer company in Friday''s feature: The Grade 1-placed Jamaican Smoke wi... http://t.co/4PD19OG4hD;NO
113;I can handle a lot of lies on Sons of Anarchy, but Gemma''s lying to Jax about the car accident in s5 really pisses me off.;NO
114;Bitcoin firm CEO found dead in suspected suicide â€“ Fox News: CNBC.comBitcoin firm CEO found dead in suspected ... http://t.co/eMRjVtdKgp;NO
115;This Zeds dead mashup is fire ðŸ˜?âœ¨;YES
116;RT @MarketsWiki: Autumn Radtke, CEO of virtual currency exchange that accepts Bitcoins, found dead in Singapore police investigating http:â€¦;NO
117;ILLINOIS BICYCLE LAWYERS Chicago, Illinois Bike Accident Injury ...: Illinois Bicycle Lawyers at Keating Law O... http://t.co/UrYNQLISZs;NO
118;@Shoq Back in Fall ''83 I was in car accident   Poster child for seatbelts.  I made up tea of valerian, skullcap & jamaican dogwood. I slept;NO
119;#Kush #dope #remedy #loud #loudpack #burn #ogkush #og #smoke #blunts #BrainDead #ItsNoodlez #hsg http://t.co/3bvmgBapmE;NO
120;U pull up on my car bitch ima smoke ðŸ�?«yo top http://t.co/VjG9QpIsmp;NO
121;@DoMe_Rightt smoke smoke smoke smoke smoke;NO
122;@rhappe I would like Excel to die in a fire. My bro is a financial exec with Accenture and the spreadsheets he navigates areâ€¦daunting.;NO
123;@cheerfreak004 I hope you get in a car wreck;NO
124;RT @chicagonewsnow: City Work Crews Finally Free Car Stuck In Block Of Ice http://t.co/f78bnym4cM #chicago;NO
125;Orange Line service suspended near Midway after smoke reported under train http://t.co/3nuNqpOswB;NO
126;#TBT My first car that I bought... Totaled it in an accident by getting side swiped!!! Oh how I''veâ€¦ http://t.co/BkjogFsL4X;YES
127;009: I guess the car hit a building, car comes back clear & valid #Chicago #GagePark;YES
128;https://t.co/wfKfGtc4LU follow me on Facebook my yung fire starters ðŸ�?¥ðŸ�?¥ðŸ�?¥ðŸ�?¥ðŸ™?ðŸ™?ðŸ™?ðŸ™?;YES
129;RT @LoneStatus: If Carlos Boozer''s help defense was a fireman everybody in need of assistance would burn alive in an inferno;NO
130;RT @sondrasolarte: (Aurora)  Randall Road CLOSED in both directions b/w Sullivan & Indian Trail b/c of a crash involving a pedestrian.;YES
131;@KagroX Next time someone tells you that Guns Don''t Kill People, People Kill People Send them a link to that story.;NO
132;I caught my girlfriend in traffic and we gave eachother this look and started cheeaaasing. Lol;NO
133;if i''m 10 minutes late for a date because i got into a car accident, that''s an excuse. if i''m late because i overslept, that''s an excuse too;NO
134;Update: Arson Suspected. Multiple fatalities have been reportd at scene police cu not confirm the reportÂ« CBS Detroit http://t.co/GvRVomSWpQ;YES
135;RT @Newyorkist: At least 4 young men in recent months have died after being tasered by police in Miami-Dade: http://t.co/AdNiuFHVIr;NO
136;RT @ChicagoDrives: Police blocking traffic on Wadsworth in Beach Park after a garbage truck collided w/ a Lake County Sheriff SUV http://t.â€¦;YES
137;Designing #fire systems for flammable, combustible liquids: http://t.co/eOdG3wnRUX #CSEmag;NO
