0;Man next to me telling hairdresser ''I got a road bike, not just any road bike an Italian one with Lycra & everything I love being a MAMIL'';NO;
1;RT @JackHayesAuthor: They''ll Need to Kill Him... Again http://t.co/SBi5wCwwTv Jack Hayes: Dead Man Rising #ASMSG #US #NSA #BYNR #UK #CIA htâ€¦;NO;
2;RT @BBCWorld: Taiwan gas explosion tore up entire street - watch our report from the scene http://t.co/3OBTrJrm30 http://t.co/BCm2dLNIAi;YES
3;RT @hellomag: Oscar Pistorius'' brother Carl is in intensive care following a car accident... http://t.co/naLxsUldPA  http://t.co/g5CCMrNOpo;YES
4;Petrol prices rocket as fuel duty hike looms http://t.co/YLkoIUDMvW;NO;
5;â€œ@neymarwa: @nadiashnry_14 shut up I can say what I want you dead ting.â€marwa you''re buttress haha how dare you call someone a dead ting ðŸ˜‚ðŸ˜³;NO;
6;You can get an exciting car #deal #easily from here, #London #Islington #secondhand #car #prices Recommended, http://t.co/hTBlosQDFb;NO;
7;I JUST HAD TO DELETE A TWEET DUE TO FEAR BECAUSE @WElRD_FlSHES REPORTED IT TO THE POLICE HAHAHA IM DYING;NO;
8;@Doncasterisokay That led me to a story about a man who died after punching a car window. WHAT?;YES
9;RT @Independent: Oscar Pistorius'' brother ''in intensive care'' after car crash http://t.co/Bl09J2t8G9 http://t.co/LjxBY4onnB;YES
10;What car is it?is it auto or manual;NO;
11;Setelah jadi musafir, akhirnya kembali soclean haha (at Prima Auto Service Car Wash) [pic] â€” https://t.co/rmDLcw2nel;NO;
12;Arcade Fire Cover Jane''s Addiction''s Been Caught Stealing, Steal Fans'' Cell Phones:   Arcade FireÂ continued ... http://t.co/gwClXOc4Gf;NO;
13;Arcade Fire Cover Jane''s Addiction''s Been Caught Stealing, Steal Fans'' Cell Phones:   Arcade FireÂ continued ... http://t.co/81po3SqwLO;NO;
14;RT @guardian: China factory blast leaves at least 65 dead - video report  http://t.co/R3s34A3r1P;YES
15;@justbevan you think?..... Man, it''s scary out there. If they do that now, it''s just telling us that police have a license to kill.;NO;
16;Axe Flies Through Car Windshield On Highway http://t.co/QrdA7VyIlS;NO;
17;RT @benlovesit: Storms like this make me want to go outside and do the break out scene from Shawshank Redemption #FreeAndy http://t.co/Xg45â€¦;NO;
18;Car deals that won''t break the bank. #London #Islington #2ndhandcars What a deal! http://t.co/e2cZ69AtZM #fb;NO;
